#RunFolderName,PipelineVersion,Min_Memory,Max_Memory,Threads,Status
170103_M00351_0182_000000000-AYD51,V2.2.1,6G,36G,12,job_submitted
170103_M01651_0140_000000000-AVG47,V2.2.1,6G,36G,12,job_submitted
170106_M01651_0141_000000000-AYCCD,V2.2.1,6G,36G,12,job_submitted
170106_M03333_0184_000000000-AYC2E,V2.2.1,6G,36G,12,job_submitted
170109_M00351_0183_000000000-AYGP3,V2.2.1,6G,72G,24,job_submitted
170109_M01651_0142_000000000-AVG48,V2.2.1,6G,72G,24,job_submitted
170113_M00351_0184_000000000-AYCC0,V2.2.1,6G,36G,12,job_submitted
170113_M01651_0143_000000000-AYC30,V2.2.1,6G,36G,12,job_submitted
170113_M03333_0185_000000000-AYD1P,V2.2.1,6G,36G,12,job_submitted
170116_M00351_0185_000000000-AVFBE,V2.2.1,6G,54G,18,job_submitted
170116_M01651_0144_000000000-AVFDB,V2.2.1,6G,36G,12,job_submitted
170116_M03333_0186_000000000-AYFYM,V2.2.1,6G,36G,12,job_submitted
150105_M03333_0010_000000000-AATNL,V2.2.1,6G,72G,24,job_submitted
170120_M00351_0186_000000000-AYH26,V2.2.1,6G,36G,12,job_submitted
170120_M01651_0145_000000000-AYC31,V2.2.1,6G,36G,12,job_submitted
170120_M03333_0187_000000000-AYD5F,V2.2.1,6G,36G,12,job_submitted
170123_M00351_0187_000000000-AYCCH,V2.2.1,6G,36G,12,job_submitted
170127_M00351_0188_000000000-AVG2J,V2.1.1_hpc,6G,36G,12,job_submitted
170127_M01651_0146_000000000-AYH1W,V2.1.1_hpc,6G,36G,12,job_submitted
170127_M03333_0188_000000000-AYD20,V2.2.1,6G,36G,12,job_submitted
170130_M00351_0189_000000000-AVFRG,V2.2.1,6G,36G,12,job_submitted
170130_M01651_0147_000000000-AVFTV,V2.2.1,6G,36G,12,job_submitted
170203_M01651_0148_000000000-AYFJN,V2.2.1,6G,36G,12,job_submitted
170203_M00351_0190_000000000-AYCCA,V2.2.1,6G,36G,12,job_submitted
170203_M03333_0189_000000000-AYDTN,V2.2.1,6G,36G,12,job_submitted
170206_M01651_0149_000000000-AYGNY,V2.2.1,6G,36G,12,job_submitted
170206_M00351_0191_000000000-AYGP6,V2.2.1,6G,36G,12,job_submitted
170206_M03333_0190_000000000-AYC67,V2.2.1,6G,36G,12,job_submitted
170210_M00351_0192_000000000-AYD6R,V2.2.1,6G,36G,12,job_submitted
170210_M01651_0150_000000000-AYCC4,V2.2.1,6G,36G,12,job_submitted
170210_M03333_0191_000000000-AYC2V,V2.2.1,6G,36G,12,job_submitted
161219_M01651_0136_000000000-AYCCC,V3.0,6G,54G,18,job_submitted
170213_M03333_0192_000000000-AVG43,V2.2.1,6G,54G,18,job_submitted
170213_M01651_0151_000000000-AYCCT,V2.2.1,6G,54G,18,job_submitted
161007_M00351_0158_000000000-AT0A0,V3.0,6G,54G,18,cancelled
170217_M00351_0193_000000000-AVG2T,V2.2.1,6G,36G,12,job_submitted
170217_M01651_0152_000000000-AVG32,V2.2.1,6G,36G,12,job_submitted
170217_M03333_0193_000000000-AYC2N,V2.2.1,6G,72G,24,job_submitted
170220_M00351_0194_000000000-AYC2A,V2.2.1,6G,36G,12,job_submitted
170220_M01651_0153_000000000-AYC1D,V2.2.1,6G,36G,12,job_submitted
170220_M03333_0194_000000000-AYGP4,V2.2.1,6G,36G,12,job_submitted
170222_M03333_0195_000000000-AYCC6,V2.2.1,6G,36G,12,job_submitted
170224_M03333_0196_000000000-AYH25,V2.2.1,6G,36G,12,job_submitted
170224_M01651_0154_000000000-AYD53,V2.2.1,6G,36G,12,job_submitted
170224_M00351_0195_000000000-AYFG2,V2.2.1,6G,36G,12,job_submitted
170227_M01651_0155_000000000-AYC59,V2.2.1,6G,96G,32,job_submitted
170227_M03333_0197_000000000-AYD33,V2.2.1,6G,36G,12,job_submitted
170228_M00351_0196_000000000-B3V89,V2.2.1,6G,36G,12,job_submitted
170303_M01651_0156_000000000-AYD22,V2.2.1,6G,36G,12,job_submitted
170303_M03333_0199_000000000-B3W6J,V2.2.1,6G,36G,12,job_submitted
170303_M00351_0197_000000000-AYD5U,V2.2.1,6G,36G,12,job_submitted
170306_M01651_0157_000000000-B3W6W,V2.2.1,6G,36G,12,job_submitted
170306_M00351_0198_000000000-B3W73,V2.2.1,6G,36G,12,job_submitted
170310_M01651_0158_000000000-B3V9L,V2.2.1,6G,36G,12,job_submitted
170310_M00351_0199_000000000-B3W66,V2.2.1,6G,54G,18,job_submitted
170315_M01651_0159_000000000-B3W9J,V2.2.1,6G,36G,12,job_submitted
170315_M03333_0200_000000000-B3V6K,V2.2.1,6G,36G,12,job_submitted
170317_M01651_0160_000000000-B3V7D,V2.2.1,6G,36G,12,job_submitted
170317_M00351_0200_000000000-B3V7R,V2.2.1,6G,36G,12,job_submitted
170317_M03333_0201_000000000-B3W74,V2.2.1,6G,36G,12,job_submitted
170320_M03333_0202_000000000-B3W5H,V2.2.1,6G,36G,12,job_submitted
170320_M01651_0161_000000000-B3W5M,V2.2.1,6G,36G,12,job_submitted
170320_M00351_0201_000000000-B27CN,V2.2.1,6G,36G,12,job_submitted
170324_M03333_0203_000000000-B3V7F,V2.2.1,6G,36G,12,job_submitted
170324_M01651_0162_000000000-B3W5G,V2.2.1,6G,36G,12,job_submitted
170324_M00351_0202_000000000-B3V98,V2.2.1,6G,36G,12,job_submitted
170327_M03333_0204_000000000-B28Y3,V2.2.1,6G,36G,12,job_submitted
170327_M01651_0163_000000000-B3WKC,V2.2.1,6G,36G,12,job_submitted
170327_M00351_0203_000000000-B3W2J,V2.2.1,6G,36G,12,job_submitted
170331_M03333_0205_000000000-B3V8D,V2.2.1,6G,36G,12,job_submitted
